# VendorId;ProductId;Revision;ModelId;Type;Model;Comment
# Most info from: http://theiphonewiki.com/wiki/Models;;;;;;
# iPad;;;;;;
05ac;129a;0001;iPad1,1;iPad;Wi-Fi;
05ac;;;iPad1,1;iPad;GSM;
;;;;;;
05ac;129f;0210;iPad2,1;iPad;2 Wi-Fi;
05ac;12a2;;iPad2,2;iPad;2 GSM;
05ac;12a3;;iPad2,3;iPad;2 CDMA;
05ac;12a9;;iPad2,4;iPad;2 Wi-Fi Rev A;
;;;;;;
05ac;12a4;0310;iPad3,1;iPad;3 Wi-Fi;
05ac;12a5;;iPad3,2;iPad;3 Global;
05ac;12a6;0330;iPad3,3;iPad;3 GSM;
;;;;;;
05ac;12ab;;iPad3,4;iPad;4 Wi-Fi;
05ac;;;iPad3,5;iPad;4 GSM;
05ac;;;iPad3,6;iPad;4 Global;
;;;;;;
05ac;;;iPad4,1;iPad Air;Wi-Fi;
05ac;;;iPad4,2;iPad Air;Global;
05ac;;;iPad4,3;iPad Air;Global Rev A;
;;;;;;
05ac;;;iPad5,3;iPad Air;2 Wi-Fi;
05ac;;;iPad5,4;iPad Air;2 Global;
;;;;;;
# iPad Mini;;;;;;
05ac;12ab;0250;iPad2,5;iPad Mini;Wi-Fi;
05ac;;;iPad2,6;iPad Mini;GSM;
05ac;;;iPad2,7;iPad Mini;Global;
;;;;;;
05ac;12ab;0404;iPad4,4;iPad Mini;2 Wi-Fi;
05ac;;;iPad4,5;iPad Mini;2 Global;
05ac;;;iPad4,6;iPad Mini;2 Global;
;;;;;;
05ac;;;iPad4,7;iPad Mini;3 Wi-Fi;
05ac;;;iPad4,8;iPad Mini;3 Global;
05ac;;;iPad4,9;iPad Mini;3 Global;
;;;;;;
05ac;;;iPad5,1;iPad Mini;4 Wi-Fi;
05ac;;;iPad5,2;iPad Mini;4 Global;
;;;;;;
# iPad Pro;;;;;;
05ac;;;iPad6,7;iPad Pro;12.9″ Wi-Fi;
05ac;;;iPad6,8;iPad Pro;12.9″ Global;
;;;;;;
05ac;12ab;;iPad6,3;iPad Pro;9.7″ Wi-Fi;
05ac;;;iPad6,4;iPad Pro;9.7″ Global;
;;;;;;
05ac;12ab;0601;iPad6,11;iPad;5 Wi-Fi;
05ac;12ab;0602;iPad6,12;iPad;5 Global;
;;;;;;
05ac;;0701;iPad7,1;iPad Pro;12.9″ 2nd gen Wi-Fi;
05ac;;0702;iPad7,2;iPad Pro;12.9″ 2nd gen Global;
;;;;;;
05ac;;0703;iPad7,3;iPad Pro;10.5″ Wi-Fi;
05ac;;0704;iPad7,4;iPad Pro;10.5″ Global;
;;;;;;
05ac;;0703;iPad7,5;iPad;6th gen Wi-Fi;
05ac;;0704;iPad7,6;iPad;6th gen Global;
;;;;;;
05ac;;0703;iPad8,1;iPad Pro;11″;
05ac;;0704;iPad8,2;iPad Pro;11″;
05ac;;0704;iPad8,3;iPad Pro;11″;
05ac;;0704;iPad8,4;iPad Pro;11″;
;;;;;;
05ac;;0704;iPad8,5;iPad Pro;12.9″ 3rd gen;
05ac;;0704;iPad8,6;iPad Pro;12.9″ 3rd gen;
05ac;;0704;iPad8,7;iPad Pro;12.9″ 3rd gen;
05ac;;0704;iPad8,8;iPad Pro;12.9″ 3rd gen;
;;;;;;
# iPhone;;;;;;
05ac;1290;;iPhone1,1;iPhone;;
05ac;1292;;iPhone1,2;iPhone;3G;
